  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,03   0,07   0,14   0,21   0,24   0,21   0,12   0,04   0,01   0,00   0,00 
  0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,05   0,13   0,23   0,34   0,44   0,47   0,43   0,28   0,12   0,03   0,00   0,00 
  0,00   0,00   0,00   0,00   0,00   0,00   0,03   0,13   0,30   0,46   0,52   0,51   0,50   0,51   0,42   0,21   0,05   0,01   0,00 
  0,00   0,00   0,00   0,00   0,00   0,01   0,05   0,22   0,47   0,60   0,55   0,49   0,46   0,48   0,46   0,27   0,09   0,01   0,00 
  0,00   0,00   0,00   0,00   0,01   0,03   0,10   0,26   0,50   0,61   0,58   0,57   0,53   0,49   0,48   0,35   0,15   0,03   0,00 
  0,00   0,00   0,00   0,01   0,05   0,13   0,24   0,34   0,43   0,51   0,55   0,60   0,58   0,51   0,51   0,44   0,24   0,07   0,01 
  0,00   0,00   0,01   0,05   0,15   0,32   0,48   0,52   0,44   0,37   0,36   0,45   0,54   0,52   0,52   0,51   0,34   0,13   0,02 
  0,00   0,01   0,05   0,15   0,32   0,49   0,58   0,59   0,52   0,38   0,26   0,31   0,48   0,56   0,56   0,55   0,38   0,15   0,03 
  0,00   0,03   0,12   0,30   0,47   0,49   0,42   0,42   0,49   0,48   0,34   0,27   0,37   0,53   0,54   0,45   0,28   0,11   0,02 
  0,00   0,05   0,19   0,39   0,45   0,32   0,19   0,20   0,33   0,47   0,43   0,27   0,26   0,35   0,34   0,24   0,12   0,04   0,01 
  0,00   0,04   0,17   0,31   0,28   0,15   0,06   0,06   0,17   0,35   0,42   0,27   0,15   0,15   0,12   0,07   0,03   0,01   0,00 
  0,00   0,03   0,09   0,15   0,13   0,07   0,03   0,03   0,12   0,29   0,40   0,26   0,09   0,04   0,02   0,01   0,00   0,00   0,00 
  0,00   0,01   0,04   0,11   0,16   0,13   0,09   0,10   0,19   0,36   0,42   0,25   0,07   0,01   0,00   0,00   0,00   0,00   0,00 
  0,00   0,01   0,05   0,17   0,30   0,31   0,26   0,27   0,36   0,47   0,44   0,25   0,10   0,03   0,01   0,00   0,00   0,00   0,00 
  0,00   0,00   0,04   0,17   0,33   0,39   0,38   0,38   0,42   0,44   0,38   0,32   0,23   0,13   0,05   0,01   0,00   0,00   0,00 
  0,00   0,00   0,03   0,09   0,19   0,24   0,24   0,25   0,25   0,26   0,33   0,46   0,47   0,31   0,13   0,03   0,00   0,00   0,00 
  0,00   0,00   0,01   0,03   0,05   0,07   0,07   0,07   0,08   0,14   0,32   0,55   0,62   0,47   0,24   0,07   0,01   0,00   0,00 
  0,00   0,00   0,00   0,00   0,01   0,01   0,01   0,01   0,04   0,15   0,36   0,55   0,58   0,53   0,36   0,16   0,05   0,01   0,00 
  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,05   0,21   0,43   0,49   0,45   0,49   0,48   0,33   0,15   0,05   0,01 
  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,07   0,25   0,44   0,41   0,33   0,40   0,53   0,51   0,32   0,13   0,03 
  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,07   0,24   0,43   0,42   0,35   0,40   0,54   0,61   0,47   0,21   0,05 
  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,05   0,19   0,36   0,41   0,39   0,41   0,48   0,52   0,42   0,19   0,05 
  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,03   0,10   0,19   0,24   0,25   0,25   0,27   0,27   0,21   0,10   0,03 
  0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,01   0,03   0,05   0,07   0,07   0,07   0,07   0,07   0,05   0,03   0,01 
